iter	Logloss
0	0.686189223
1	0.6795048651
2	0.6727485153
3	0.6665704534
4	0.660539938
5	0.6545372513
6	0.648388766
7	0.6425848469
8	0.6369451447
9	0.6314708021
10	0.6260314135
11	0.6208418792
12	0.6161429115
13	0.6113292005
14	0.6064314653
15	0.6015598112
16	0.5969506486
17	0.5926360412
18	0.5879754558
19	0.5837692731
20	0.5794211904
21	0.5752970826
22	0.5710410232
23	0.5668999088
24	0.5631031591
25	0.5592015472
26	0.5553512909
27	0.5516532528
28	0.5480671685
29	0.5444643802
30	0.5408332589
31	0.5374784428
32	0.5343351658
33	0.5311567332
34	0.5281496426
35	0.5252149809
36	0.5223719727
37	0.519341994
38	0.5165122952
39	0.513810246
40	0.5110633951
41	0.5084096766
42	0.5057539751
43	0.503453595
44	0.5009294754
45	0.4983569242
46	0.4958417447
47	0.4933304304
48	0.4909844083
49	0.4888321125
50	0.4866693303
51	0.4845029184
52	0.4824565602
53	0.4803629468
54	0.4784353651
55	0.4763200399
56	0.474435613
57	0.4725743768
58	0.4708056009
59	0.4689112256
60	0.4671857052
61	0.4653869494
62	0.4637268671
63	0.4620373428
64	0.4603995437
65	0.4589424301
66	0.4573475842
67	0.4558064801
68	0.4543382418
69	0.4528276889
70	0.4513232529
71	0.4499353081
72	0.4488796285
73	0.4476653112
74	0.4463522151
75	0.4452967035
76	0.4440321397
77	0.4427234129
78	0.4415682486
79	0.4403800124
80	0.4391283212
81	0.4382184403
82	0.4370595117
83	0.4360416429
84	0.4349472113
85	0.4340264073
86	0.4330051775
87	0.431985393
88	0.4309649362
89	0.4299382281
90	0.4290701912
91	0.4281768799
92	0.4272933826
93	0.4263925426
94	0.4254767464
95	0.4246567377
96	0.4240862472
97	0.423207993
98	0.4222911885
99	0.4214616347
100	0.4207162059
101	0.4199884894
102	0.4192881983
103	0.4185691867
104	0.4178388822
105	0.4171835946
106	0.4164023378
107	0.4157132052
108	0.41513606
109	0.4145139787
110	0.4138150656
111	0.4133154243
112	0.4126491463
113	0.4120084788
114	0.4114692453
115	0.4108902179
116	0.4103031579
117	0.409702822
118	0.4091069898
119	0.4084810097
120	0.4079810995
121	0.4074253301
122	0.4069472662
123	0.4064395921
124	0.4059818621
125	0.4054909593
126	0.4050056357
127	0.4045374194
128	0.4040374084
129	0.4036160104
130	0.4031910497
131	0.402836871
132	0.4024095577
133	0.4020318859
134	0.4016439967
135	0.4012133561
136	0.4007630873
137	0.400379433
138	0.3999766211
139	0.3996045621
140	0.3992282683
141	0.3988603096
142	0.3985808452
143	0.3982126513
144	0.3978963507
145	0.3975813609
146	0.3973015605
147	0.3969728579
148	0.39672297
149	0.3963816639
150	0.3960590783
151	0.3957120248
152	0.3954084623
153	0.3950450074
154	0.3947310259
155	0.3944416466
156	0.3942080594
157	0.3939871095
158	0.3937701255
159	0.3935365719
160	0.3932839616
161	0.3930325277
162	0.3927877149
163	0.3925083849
164	0.3923051473
165	0.3920862811
166	0.3918332675
167	0.3915699022
168	0.3913229384
169	0.391118726
170	0.390876602
171	0.390647216
172	0.3904521119
173	0.3902282379
174	0.3900241936
175	0.3898296608
176	0.3896357667
177	0.3894630466
178	0.38925954
179	0.389120396
180	0.3888864727
181	0.3887059552
182	0.3885350837
183	0.3882979338
184	0.3881247432
185	0.3879863722
186	0.3877788997
187	0.3876023482
188	0.3874488192
189	0.3872730406
190	0.3871312078
191	0.386914728
192	0.3866535136
193	0.3864832134
194	0.3863285418
195	0.3861338746
196	0.3859401821
197	0.3857600342
198	0.3855654679
199	0.3853752708
200	0.3851824857
201	0.3850285198
202	0.3848515985
203	0.3847350066
204	0.3846012065
205	0.3844332926
206	0.3843154235
207	0.3842054863
208	0.384052159
209	0.3838955379
210	0.3837950114
211	0.3836907206
212	0.3835402501
213	0.3834099455
214	0.3831878864
215	0.3831159953
216	0.3829749019
217	0.3827784198
218	0.3826405529
219	0.3825313887
220	0.3824356684
221	0.3823459642
222	0.3822437572
223	0.3821527758
224	0.3820521821
225	0.3819019805
226	0.3818149651
227	0.3816916176
228	0.381546491
229	0.3814416625
230	0.381336229
231	0.3812279386
232	0.3811474099
233	0.3809814117
234	0.3808579634
235	0.3807388507
236	0.3805932873
237	0.3804688979
238	0.3803323754
239	0.3801847281
240	0.3800732113
241	0.3799800789
242	0.3799069442
243	0.3797703882
244	0.3797010514
245	0.3796338993
246	0.3794917304
247	0.3794114033
248	0.379312322
249	0.3792085353
250	0.3791236373
251	0.3790202204
252	0.3789097454
253	0.3787865996
254	0.3787212624
255	0.378627525
256	0.3785382241
257	0.3784734919
258	0.3783629833
259	0.3782279061
260	0.3781399832
261	0.3780585806
262	0.3780026541
263	0.3778435795
264	0.3777286345
265	0.377631637
266	0.3775444199
267	0.3774615048
268	0.3773239741
269	0.3772578302
270	0.3771734028
271	0.3770675323
272	0.3770056905
273	0.3769305393
274	0.3768477587
275	0.3767841356
276	0.376692314
277	0.3766011982
278	0.3765258117
279	0.3764235039
280	0.3763290607
281	0.3762515568
282	0.3761692803
283	0.3760594775
284	0.3760103066
285	0.3759392558
286	0.3758279742
287	0.3757525877
288	0.3756971317
289	0.3756139142
290	0.3755407123
291	0.3754654267
292	0.3754137014
293	0.37532272
294	0.3752424265
295	0.3751727201
296	0.3750992493
297	0.3750356935
298	0.3749598364
299	0.3748918777
300	0.3748307753
301	0.3747584473
302	0.3746546271
303	0.3745928189
304	0.3745527562
305	0.3744963255
306	0.3744215776
307	0.374327
308	0.3742004596
309	0.3741338789
310	0.3740751292
311	0.3740432336
312	0.3739701662
313	0.3739176679
314	0.3738570024
315	0.3738089742
316	0.3737387636
317	0.3736901304
318	0.3735965947
319	0.3735336438
320	0.373468878
321	0.3734151025
322	0.3733510425
323	0.3732492388
324	0.3731458219
325	0.3730858286
326	0.3729995862
327	0.3729439286
328	0.3728394361
329	0.3727736956
330	0.3726874532
331	0.3726400636
332	0.37254273
333	0.3724408591
334	0.3723826135
335	0.3722979844
336	0.3722349999
337	0.3721614619
338	0.3720978052
339	0.3720891003
340	0.3720461808
341	0.3719729789
342	0.3718669404
343	0.3718110139
344	0.3717748163
345	0.3717290063
346	0.371680642
347	0.3716088854
348	0.3715688563
